Titulo,Categoria,Autor,id,Numero_de_Visitas,Votos_Positivos,Votos_Negativos,URL nuevo portal,votos_totales
"Costos por evaluación y seguimiento para tala, pod",Ambiente,Departamento Administrativo de Gestion del Medio Ambiente,75395,37,0,0,https://www.datos.gov.co/dataset/dgck-qmm6,
"Costos por evaluación y seguimiento para tala, pod",Ambiente,Departamento Administrativo de Gestion del Medio Ambiente,75396,42,2,0,https://www.datos.gov.co/dataset/6w9b-nyd5,
Listado de Entidades que publican Datos Abiertos ,Tecnologías de la Información y las Comunicaciones,Ministerio de tecnologías de información y las comunicaciones,63776,2338,23,0,https://www.datos.gov.co/dataset/p8dd-xmgv,
Códigos Postales Nacionales,Geografía,Postales472,64292,228,0,0,https://www.datos.gov.co/dataset/8gxe-gztc,
"Ecosistemas, Indicadores Ambientales",Ambiente,"INSTITUTO DE HIDROLOGÍA, METEOROLOGÍA Y ESTUDIOS AMBIENTALES",63577,401,0,0,https://www.datos.gov.co/dataset/ufw3-bkjf,
Entidades para el recaudo de facturación prepago,Datos Básicos,EPM INVERSIONES S.A.,75290,34,0,0,https://www.datos.gov.co/dataset/ttpd-ykae,
CONTRATACION PRIMER SEMESTRE 2016,Económica y Comercial,Superintendencia de servicios,75404,111,0,0,https://www.datos.gov.co/dataset/3sjb-gchw,
Histórico de personas desmovilizadas,Estadísticas,Agencia Colombiana para la Reintegración,63480,6184,51,42,https://www.datos.gov.co/dataset/uea5-is6n,
Auditoría y Gestión del Riesgo,Datos Básicos,Agencia ITRC,75238,296,2,0,https://www.datos.gov.co/dataset/m3uj-9ka9,
Procesos de Contratación Agencia Logística FF.MM,Defensa,Agencia Logística de las fuerzas Militares,63548,361,3,0,https://www.datos.gov.co/dataset/vdcy-9rhg,
Contratación Pública SECOP I - 2015,Contratación Pública,Agencia Nacional de Contratación Pública COLOMBIA COMPRA EFICIENTE,63800,46837,36,1397,https://www.datos.gov.co/dataset/8u9j-2szv,
Contratación Pública SECOP II – 2015,Contratación Pública,Agencia Nacional de Contratación Pública COLOMBIA COMPRA EFICIENTE,63801,5485,3,460,https://www.datos.gov.co/dataset/ixjz-h9pu,
Conceptos Previos de Extensión de Jurisprudencia,Legislación,Agencia Nacional de Defensa Juridica del Estado,74306,102,0,0,https://www.datos.gov.co/dataset/85s7-mgmm,
Tabla de Costos de Peajes,Movilidad y Transporte,Agencia Nacional de Infraestructura,74297,524,3,0,https://www.datos.gov.co/dataset/7mxx-mdmr,
TRAFICO VEHICULAR POR CONCESION 2003 A 2015,Movilidad y Transporte,Agencia Nacional de Infraestructura,75137,675,9,0,https://www.datos.gov.co/dataset/6pnw-fzxw,
Listado de Concesiones Carretero ANI,Movilidad y Transporte,Agencia Nacional de Infraestructura,74635,2109,31,31,https://www.datos.gov.co/dataset/kv5g-rqbi,
Listado de Concesiones Aeropuertos,Movilidad y Transporte,Agencia Nacional de Infraestructura,74634,632,1,0,https://www.datos.gov.co/dataset/96fr-jhyq,
Listado de Concesiones Ferreo,Movilidad y Transporte,Agencia Nacional de Infraestructura,74636,298,2,0,https://www.datos.gov.co/dataset/vvuh-6afm,
Listado de Concesiones Puertos Agencia Nacional de,Movilidad y Transporte,Agencia Nacional de Infraestructura,74638,503,1,0,https://www.datos.gov.co/dataset/5fqt-hs7d,
Matriz Informacion Reservada Y Clasificada,Movilidad y Transporte,Agencia Nacional de Infraestructura,74952,210,0,0,https://www.datos.gov.co/dataset/hq7m-szmn,
Registro Único de Comercializadores Mineros,Minas y Energía,Agencia Nacional de Minería,63454,14748,16,9,https://www.datos.gov.co/dataset/tvwp-62pe,
Áreas liberadas de propuestas de contratos de concesión,Geografía,Agencia Nacional de Minería,30903,8749,27,25,https://www.datos.gov.co/dataset/fque-n37u,
Puntos de medición RNI-Bogotá,Tecnologías de la Información y las Comunicaciones,Agencia Nacional del Espectro,63545,2776,3,16,https://www.datos.gov.co/dataset/jrdb-58q5,
Cooperación Sur-Sur y Triangular ,Datos Administrativos,Agencia Presidencial de Cooperación InterNacional de Colombia,20742,3190,4,7,https://www.datos.gov.co/dataset/vzuh-48m4,
Gestión de Demanda de Cooperación ,Función Pública,Agencia Presidencial de Cooperación InterNacional de Colombia,10587,2845,3,0,https://www.datos.gov.co/dataset/uyw4-2769,
Coord Interinstitucional - Prioridades Territorios,Función Pública,Agencia Presidencial de Cooperación InterNacional de Colombia,20737,1883,3,4,https://www.datos.gov.co/dataset/rkxg-x7ri,
Coordinación Interinstitucional ,Función Pública,Agencia Presidencial de Cooperación InterNacional de Colombia,10504,1105,2,1,https://www.datos.gov.co/dataset/gta8-a2hb,
Oferta Hidrica Disponible Mes Abril,Ambiente,Aguas de Manizales SA ESP,62729,334,11,0,https://www.datos.gov.co/dataset/r48v-i6gx,
Oferta Hidrica Disponible Mes Agosto,Ambiente,Aguas de Manizales SA ESP,63441,87,1,0,https://www.datos.gov.co/dataset/hp9t-vdmb,
Oferta Hidrica Disponible Mes Diciembre,Ambiente,Aguas de Manizales SA ESP,64562,130,1,0,https://www.datos.gov.co/dataset/i7d5-r35q,
Oferta Hidrica Disponible Mes Enero,Ambiente,Aguas de Manizales SA ESP,63444,88,0,0,https://www.datos.gov.co/dataset/ergf-xk3k,
Oferta Hidrica Disponible Mes de Enero,Ambiente,Aguas de Manizales SA ESP,74593,50,1,0,https://www.datos.gov.co/dataset/nhh6-am4t,
Oferta Hidrica Disponible Mes Julio,Ambiente,Aguas de Manizales SA ESP,63440,80,0,0,https://www.datos.gov.co/dataset/yd4k-wbft,
Oferta Hidrica Disponible Mes Junio,Ambiente,Aguas de Manizales SA ESP,63034,109,3,0,https://www.datos.gov.co/dataset/s52q-9chx,
Oferta Hidrica Disponible Mes Mayo,Ambiente,Aguas de Manizales SA ESP,63033,122,0,0,https://www.datos.gov.co/dataset/7jvk-rkur,
Oferta Hidrica Disponible Mes Noviembre,Ambiente,Aguas de Manizales SA ESP,64467,125,0,0,https://www.datos.gov.co/dataset/5eeb-2xfj,
Oferta Hidrica Disponible Mes Octubre,Ambiente,Aguas de Manizales SA ESP,64432,96,0,0,https://www.datos.gov.co/dataset/5hpx-gkyg,
Oferta Hidrica Disponible Mes Septiembre,Ambiente,Aguas de Manizales SA ESP,64433,78,0,0,https://www.datos.gov.co/dataset/rmrd-nbhp,
Oferta Hidrica Disponible Mes Marzo,Ambiente,Aguas de Manizales SA ESP,75467,30,0,0,https://www.datos.gov.co/dataset/5sks-4j6k,
Oferta Hidrica Disponible Mes Marzo,Ambiente,Aguas de Manizales SA ESP,62274,45,3,0,https://www.datos.gov.co/dataset/e5f4-8gvi,
Oferta Hidrica Disponible Mes Mayo,Ambiente,Aguas de Manizales SA ESP,75470,0,0,0,https://www.datos.gov.co/dataset/wzqk-k7xi,
Oferta Hidrica Disponible Mes Febrero,Ambiente,Aguas de Manizales SA ESP,62269,115,2,0,https://www.datos.gov.co/dataset/8rwv-fqce,
Índice de Información Clasificada y Reservada,Datos Administrativos,Aguas de Manizales SA ESP,63446,289,2,0,https://www.datos.gov.co/dataset/2knm-5qcn,
Base de datos hidrantes,Ambiente,Aguas de Manizales SA ESP,63443,547,0,0,https://www.datos.gov.co/dataset/2kgy-7t2h,
Oferta Hidrica Disponible Mes Junio ,Ambiente,Aguas de Manizales SA ESP,75471,20,0,0,https://www.datos.gov.co/dataset/9cjp-ebwt,
Oferta Hidrica Disponible Mes Abril,Ambiente,Aguas de Manizales SA ESP,75469,22,0,0,https://www.datos.gov.co/dataset/f2si-4wsr,
Activos de Información,Datos Administrativos,Aguas de Manizales SA ESP,63445,560,4,0,https://www.datos.gov.co/dataset/2bsn-xh8j,
Oferta Hidrica Disponible Mes Febrero,Ambiente,Aguas de Manizales SA ESP,75463,30,0,0,https://www.datos.gov.co/dataset/uxyt-jvii,
LISTADO CONCEJALES MUNICIPIO ALCALA,Datos Administrativos,Alcaldía ALCALA,64165,29,0,0,https://www.datos.gov.co/dataset/5ab9-cu4p,
ZONAS TURISTICAS BOLÍVAR VALLE,Comercio,Alcaldía bolívar valle,64380,2327,16,5,https://www.datos.gov.co/dataset/vp9h-bgex,
turismo,Comercio,Alcaldía bolívar valle,64414,49,1,0,https://www.datos.gov.co/dataset/4e5r-brxq,
Contratos del primer trimestre 2016 - A. Abejorral,Contratación Pública,Alcaldía de Abejorral,74711,32,0,0,https://www.datos.gov.co/dataset/jkrz-3tiq,
Contratos primer trimestre 2016 Abejorral,Contratación Pública,Alcaldía de Abejorral,74724,16,0,0,https://www.datos.gov.co/dataset/bbxq-n5z4,
Contratos primer trimestre de 2016 Abejorral,Contratación Pública,Alcaldía de Abejorral,74726,24,0,0,https://www.datos.gov.co/dataset/kwj3-92br,
Contratos de primer trimestre de 2016 en Abejorral,Contratación Pública,Alcaldía de Abejorral,74727,217,1,0,https://www.datos.gov.co/dataset/472w-kg6y,
Directorio de Instituciones - Abejorral,Datos Básicos,Alcaldía de Abejorral,63795,245,3,0,https://www.datos.gov.co/dataset/ej2u-8crb,
Tramites aprobados por el DAFP,Función Pública,Alcaldía de Abejorral,74706,88,2,0,https://www.datos.gov.co/dataset/nrma-h6nb,
Ejecución Consolidada del Presupuesto,Finanzas,Alcaldía de Ábrego,75239,135,5,0,https://www.datos.gov.co/dataset/rvqg-4t6k,
Normatividad Vigente del Municipio de Acacías,Legislación,Alcaldía de Acacias,64470,148,13,2,https://www.datos.gov.co/dataset/9xk7-t7tp,
Presidentes Junta de accion comunal Acacías Meta,Social,Alcaldía de Acacias,10324,6017,707,2,https://www.datos.gov.co/dataset/h8e6-fakw,
Zonas de Parqueo del Municipio de Acacías,Movilidad y Transporte,Alcaldía de Acacias,64490,4583,716,3,https://www.datos.gov.co/dataset/338m-u9cu,
Banco de Tic Acacias - Empresas,Cultural,Alcaldía de Acacias,30866,227,24,0,https://www.datos.gov.co/dataset/nw8y-ka69,
Banco de Tic Acacias - Estudiantes,Cultural,Alcaldía de Acacias,30869,180,1,0,https://www.datos.gov.co/dataset/nf6c-y7dg,
Banco de Tic Acacias - Gobierno,Cultural,Alcaldía de Acacias,30867,175,0,0,https://www.datos.gov.co/dataset/mjet-yv8b,
Banco de Tic Acacias - Hogares,Cultural,Alcaldía de Acacias,30868,126,4,0,https://www.datos.gov.co/dataset/g5jt-f4gb,
Videos Canal Youtube Alcaldía Acacías,Social,Alcaldía de Acacias,64468,314,108,1,https://www.datos.gov.co/dataset/sz92-8s3x,
Trámites Inscritos y Aprobados por el Departamento,Social,Alcaldía de Acacias,63856,100,17,0,https://www.datos.gov.co/dataset/bpwr-yyj8,
"Álbumes Fan Page Alcaldía de Acacías,Meta",Social,Alcaldía de Acacías,64465,412,124,0,https://www.datos.gov.co/dataset/b8se-z9gn,
"Directorio Funcionarios Alcaldía de Acacías,Meta",Datos Básicos,Alcaldía de Acacías,64466,897,52,0,https://www.datos.gov.co/dataset/eywa-5bhw,
Sitios de interes del Municipio de Acacias,Económica y Comercial,Alcaldía de Acacías,64469,3624,119,2,https://www.datos.gov.co/dataset/d856-btkz,
Tarifas de Taxis 2015 Municipio de Acacías  ,Movilidad y Transporte,Alcaldía de Acacías,64464,482,89,0,https://www.datos.gov.co/dataset/uznk-pzc4,
matriculados instituciones edctivas. de aguada ,Educación,Alcaldía de Aguada,10287,17,0,0,https://www.datos.gov.co/dataset/qc6c-ngdc,
Hidrografía del municipio de Aguada ,Ambiente,Alcaldía de Aguada,10285,64,0,0,https://www.datos.gov.co/dataset/hhm6-b7ua,
Acueductos exsistentes de la Alcaldia del Municipio de Aguazul,Ambiente,Alcaldía de Aguazul,62385,195,30,0,https://www.datos.gov.co/dataset/2et7-xefk,
Areas de Reserva,Ambiente,Alcaldía de Aguazul,62471,756,3,0,https://www.datos.gov.co/dataset/nxcx-npw9,
"Barrios, Veredas y Centros poblados de la Alcaldia Municipal de Aguazul",Geografía,Alcaldía de Aguazul,62376,118,13,0,https://www.datos.gov.co/dataset/3mp9-ywei,
Directorio de Instituciones Educativas Oficiales de la Alcaldia del Municipio de Aguazul,Social,Alcaldía de Aguazul,62378,39,1,0,https://www.datos.gov.co/dataset/muer-8weg,
Reforestación de la Alcaldia Municipal de Aguazul,Datos Administrativos,Alcaldía de Aguazul,62379,15,0,0,https://www.datos.gov.co/dataset/davg-pe3c,
Video vigilancia de la Alcaldia Municipal de Aguazul,Datos Administrativos,Alcaldía de Aguazul,62377,178,0,0,https://www.datos.gov.co/dataset/f2t5-6bpn,
Clima de la Alcaldia Municipal de Aguazul,Ambiente,Alcaldía de Aguazul,62329,171,19,0,https://www.datos.gov.co/dataset/9que-9gaf,
instituciones educativas de Albania - Santander ,Educación,Alcaldía de Albania,10295,1962,2,3,https://www.datos.gov.co/dataset/ukyv-z4de,
Directorio de establecimentos de comercio registrados en la entidad,Social,Alcaldía de Albania,51543,31,2,0,https://www.datos.gov.co/dataset/mm6j-2wi2,
Directorio de Instituciones Educativas Oficiales y no oficiales  del Municipio de Albania Departamento de La Guajira,Social,Alcaldía de Albania,51544,31,1,0,https://www.datos.gov.co/dataset/mth9-tijd,
Inventario de bienes inmuebles del Municipio de Albania Departamento de La Guajira,Social,Alcaldía de Albania,62200,13,0,0,https://www.datos.gov.co/dataset/5rrt-x6z4,
instituciónes educativas de Almeida,Educación,Alcaldía de Almeida,10267,41,0,0,https://www.datos.gov.co/dataset/22zf-rp5q,
Beneficiarios del complemento MANA,Salud,Alcaldía de Angostura,63606,36,0,0,https://www.datos.gov.co/dataset/b7ac-rchj,
Directorio de Hoteles del Municipio de Anserma Caldas,Social,Alcaldía de Anserma,51498,35,2,0,https://www.datos.gov.co/dataset/udd6-xbaz,
Directorio de Instituciones Educativas Oficiales y privadas del Municipio de Anserma Caldas,Social,Alcaldía de Anserma,51419,20,0,0,https://www.datos.gov.co/dataset/u7g2-5tz4,
Directorio de Restaurantes y Cafeterias del Municipio de Anserma Caldas,Social,Alcaldía de Anserma,51493,54,0,2,https://www.datos.gov.co/dataset/qdrb-c5rr,
Listado de los Puntos Naturales Potenciales para Municipio de Anserma Caldas,Social,Alcaldía de Anserma,62201,9,5,0,https://www.datos.gov.co/dataset/ybcn-h3wg,
HABITANTES DEL MUNICIPIO DE APARTADO ANTIOQUIA,Datos Básicos,Alcaldía de Apartado,63756,27,0,0,https://www.datos.gov.co/dataset/yut2-wdrz,
I.E OFICIALES MUNICIPIO DE APARTADO ANTIOQUIA,Educación,Alcaldía de Apartado,64007,202,0,0,https://www.datos.gov.co/dataset/5br5-cdxp,
JAC RURAL DEL MUNICIPIO DE APARTADO ANTIOQUIA,Social,Alcaldía de Apartado,63761,189,0,0,https://www.datos.gov.co/dataset/i8zc-2m67,
JAC URBANAS MUNICIPIO DE APARTADO ANTIOQUIA,Social,Alcaldía de Apartado,63762,121,0,0,https://www.datos.gov.co/dataset/anaf-zzvn,
FUNCIONARIOS ALCALDIA DE APARTADO-ANTIOQUIA,Trabajo y Empleo,Alcaldía de Apartado,63747,1415,0,1,https://www.datos.gov.co/dataset/veid-ddmu,
HABITANTES DEL MUNICIPIO DE APARTADO ANTIOQUIA,Datos Básicos,Alcaldía de Apartado,63760,155,0,0,https://www.datos.gov.co/dataset/az9b-uaqf,
Directorio asociación turística del municipio,Económica y Comercial,Alcaldía de Aquitania,10435,15,0,0,https://www.datos.gov.co/dataset/sfan-xayy,
Directorio de Hoteles del Municipio de Aranzazu Ca,Social,Alcaldía de Aranzazu,64573,23,0,0,https://www.datos.gov.co/dataset/brqw-5bii,
Directorio de Instituciones Educativas Oficiales y,Educación,Alcaldía de Aranzazu,74225,29,0,0,https://www.datos.gov.co/dataset/jhin-8i26,
Listado de los Puntos de Interés turístico para el,Social,Alcaldía de Aranzazu,74223,22,0,0,https://www.datos.gov.co/dataset/6vn2-5j9a,
Instituciones educativas del municipio de Aratoca ,Educación,Alcaldía de Aratoca,10305,42,1,0,https://www.datos.gov.co/dataset/2pfp-m28b,
Instituciones Educativas Oficiales de Arauca,Educación,Alcaldía de Arauca,10225,80,0,0,https://www.datos.gov.co/dataset/scr3-8crm,
Instituciones Educativas Oficiales de Arauquita ,Educación,Alcaldía de Arauquita,10226,62,3,0,https://www.datos.gov.co/dataset/j5pc-87kp,
Información de la institución educativa de Arcabuc,Educación,Alcaldía de Arcabuco,204,16,0,0,https://www.datos.gov.co/dataset/p9d6-rm5f,
Barrios por comuna ,Social,Alcaldía de Armenia,51337,106,2,0,https://www.datos.gov.co/dataset/ihn9-ny6m,
Cultivos Transitorios en Armenia Q.,Agricultura y Desarrollo Rural,Alcaldía de Armenia,64449,14,0,0,https://www.datos.gov.co/dataset/nnir-7ium,
Comparendos de Transito de Armenia Quindio,Movilidad y Transporte,Alcaldía de Armenia,63683,137,0,0,https://www.datos.gov.co/dataset/2rry-s23i,
Inventario Pecuario Armenia ,Agricultura y Desarrollo Rural,Alcaldía de Armenia,64450,6,0,0,https://www.datos.gov.co/dataset/ceag-rj2e,
Indicadores de salud Armenia Quindio,Salud,Alcaldía de Armenia,64452,58,0,0,https://www.datos.gov.co/dataset/is6s-qtpd,
infracciones de transito,Movilidad y Transporte,Alcaldía de Armenia,63698,63,0,0,https://www.datos.gov.co/dataset/kzps-djwr,
AREAS EN CULTIVOS PENMANENTES EN ARMENIA Q.,Agricultura y Desarrollo Rural,Alcaldía de Armenia,64447,128,0,0,https://www.datos.gov.co/dataset/sgjk-3mbu,
Historios multas de transito en Armenia Q.,Movilidad y Transporte,Alcaldía de Armenia,64451,56,0,2,https://www.datos.gov.co/dataset/vxff-avp8,
Multas de Transito en Armenia,Movilidad y Transporte,Alcaldía de Armenia,63689,14,0,0,https://www.datos.gov.co/dataset/bkfk-2etd,
COMPARENDOS DE TRANSITO EN ARMENIA QUINDIO,Movilidad y Transporte,Alcaldía de Armenia,63685,44,0,0,https://www.datos.gov.co/dataset/ut86-qmzq,
USO DE SUELOS Y PRODUCCION RURAL DEL MUNICIPIO DE ,Agricultura y Desarrollo Rural,Alcaldía de Armenia,64448,38,0,0,https://www.datos.gov.co/dataset/pxaz-a6hb,
Insituciones educativas y Sedes Armero tolima,Educación,Alcaldia de Armero Guayabal,64087,17,3,0,https://www.datos.gov.co/dataset/h4s6-hkgt,
Calculos Epidemiologicos Armero Guayabal,Salud,Alcaldía de Armero Guayabal,64259,40,1,0,https://www.datos.gov.co/dataset/f3ey-ukhg,
instituciones educativas de Barbosa,Educación,Alcaldía de Barbosa,10286,51,2,0,https://www.datos.gov.co/dataset/fi7k-ftyc,
Plan Centro vida,Social,Alcaldía de Barbosa,63378,2,0,0,https://www.datos.gov.co/dataset/u7bb-qsv2,
Programa Actividad Adulto Mayor,Salud,Alcaldía de Barbosa,63427,14,0,0,https://www.datos.gov.co/dataset/36ep-25aj,
Programa de ejercicio para Adulto mayor y niños,Salud,Alcaldía de Barbosa,63428,13,0,0,https://www.datos.gov.co/dataset/3f5n-zr8e,
Asociacion de mujeres campesinas de barbosa,Agricultura y Desarrollo Rural,Alcaldía de Barbosa,63380,106,0,0,https://www.datos.gov.co/dataset/8be9-pk3u,
Asistencia tecnica a cultivos,Agricultura y Desarrollo Rural,Alcaldía de Barbosa,63668,243,0,0,https://www.datos.gov.co/dataset/bc7d-ymfa,
Asistencia tecnica a ganaderia,Agricultura y Desarrollo Rural,Alcaldía de Barbosa,63661,121,0,0,https://www.datos.gov.co/dataset/9b2t-429m,
Capacitación seguridad vial a las empresa,Movilidad y Transporte,Alcaldía de Barbosa,63430,69,0,0,https://www.datos.gov.co/dataset/cxtf-8y2v,
Campaña de sensibilizacion barbosa colegios,Movilidad y Transporte,Alcaldía de Barbosa,63431,53,0,0,https://www.datos.gov.co/dataset/6ifw-c8h5,
Familias en Accion,Social,Alcaldía de Barbosa,63401,78,0,0,https://www.datos.gov.co/dataset/5jzc-utd5,
Listado de Hoteles ,Comercio,Alcaldía de Barbosa,63447,190,0,0,https://www.datos.gov.co/dataset/gw8r-6ivt,
Subsidio de transporte escolar para alumnos ,Movilidad y Transporte,Alcaldía de Barbosa,63382,30,0,0,https://www.datos.gov.co/dataset/2862-g6hm,
Sistema de Identificación y Clasificación de Poten,Salud,Alcaldía de Barbosa,63391,26,0,0,https://www.datos.gov.co/dataset/tvbn-j4u8,
Beneficiarios Subsidio Colombia Adulto Mayor,Social,Alcaldía de Barbosa,63406,42,0,0,https://www.datos.gov.co/dataset/j863-xnpy,
Directorio de Presidentes Juntas de Accion Comunal,Prosperidad Social,Alcaldía de Barbosa,63769,89,19,1,https://www.datos.gov.co/dataset/apxj-5y4g,
hogares de bienestar familiar,Prosperidad Social,Alcaldía de Barbosa,63434,69,0,0,https://www.datos.gov.co/dataset/9ca8-jnst,
Asistencia técnica producción de guayaba1,Agricultura y Desarrollo Rural,Alcaldía de Barbosa,63642,51,0,0,https://www.datos.gov.co/dataset/7jhb-5k8z,
Listado de alumnos matriculados,Educación,Alcaldía de Barbosa,63379,16,0,0,https://www.datos.gov.co/dataset/qe8w-xfhh,
sistema de identificación de potenciales benefiari,Salud,Alcaldía de Barbosa,63648,42,0,0,https://www.datos.gov.co/dataset/4tya-nr45,
2 sistema de identificación Beneficiarios,Salud,Alcaldía de Barbosa,63660,670,0,0,https://www.datos.gov.co/dataset/d9zj-czan,
Establecimientos comerciales registrados,Económica y Comercial,Alcaldía de Barichara,198,34,0,0,https://www.datos.gov.co/dataset/6bfa-ybxg,
Consejo Mpal de Gestión del Riesgo de Desastre,Ambiente,Alcaldía de Barranca de Upia,138,91,0,0,https://www.datos.gov.co/dataset/dfkq-u6mn,
Instituciones Educativas (Barrancabermeja),Educación,Alcaldía de Barrancabermeja,10522,1135,0,0,https://www.datos.gov.co/dataset/u2zq-q4ui,
Directorio de Funcionarios de la Alcaldia Municipal de Barrancas La Guajira,Social,Alcaldía de Barrancas,62720,136,1,0,https://www.datos.gov.co/dataset/whtc-purm,
Ubicaciones de las instituciones educativas oficiales de la ciudad de Barranquilla,Educación,Alcaldía de Barranquilla,46,2318,10,5,https://www.datos.gov.co/dataset/r9xb-tqtg,
Sitrans_Shapes,Movilidad y Transporte,Alcaldía de Barranquilla,30887,1637,0,0,https://www.datos.gov.co/dataset/nv5b-fwue,
SiTrans,Movilidad y Transporte,Alcaldía de Barranquilla,20772,674,0,6,https://www.datos.gov.co/dataset/suah-nw7e,
SiTrans_Trips,Movilidad y Transporte,Alcaldía de Barranquilla,30888,76,0,0,https://www.datos.gov.co/dataset/6tde-wekn,
SiTrans,Movilidad y Transporte,Alcaldía de Barranquilla,20782,2032,0,1,https://www.datos.gov.co/dataset/52jd-yizy,
SiTrans,Movilidad y Transporte,Alcaldía de Barranquilla,20778,2152,4,0,https://www.datos.gov.co/dataset/dneb-4ykj,
SiTrans_Stoptimes,Movilidad y Transporte,Alcaldía de Barranquilla,30889,5750,0,28,https://www.datos.gov.co/dataset/wgry-s9cb,
SiTrans,Movilidad y Transporte,Alcaldía de Barranquilla,20771,83218,0,2,https://www.datos.gov.co/dataset/cini-64z3,
SiTrans,Movilidad y Transporte,Alcaldía de Barranquilla,20770,570,0,7,https://www.datos.gov.co/dataset/m657-vqkk,
SiTrans,Movilidad y Transporte,Alcaldía de Barranquilla,20767,673,0,7,https://www.datos.gov.co/dataset/3y7b-k58r,
SiTrans,Movilidad y Transporte,Alcaldía de Barranquilla,20768,1034,0,1,https://www.datos.gov.co/dataset/989n-s9sp,
Usuarios EPS Del Municipio de Becerril Cesar ,Salud,Alcaldia de Becerril,64154,55,0,0,https://www.datos.gov.co/dataset/pk64-t7sp,
Presidentes Juntas de Acciones Comunales Becerril ,Datos Básicos,Alcaldia de Becerril,64144,12,0,0,https://www.datos.gov.co/dataset/kute-rg5t,
Alcaldia Becerril Concejo Municipal,Datos Básicos,Alcaldia de Becerril,64142,76,0,0,https://www.datos.gov.co/dataset/gfn9-vke6,
VÍAS DE BELÉN ,Movilidad y Transporte,Alcaldía de Belen,10442,80,0,0,https://www.datos.gov.co/dataset/xg8e-wfns,
Cobertura de los  Servicios Publicos del Municipio de Bello,Social,Alcaldía de Bello,62767,108,0,0,https://www.datos.gov.co/dataset/gssc-2cy5,
Cobertura,Social,Alcaldía de Bello,62637,72,0,0,https://www.datos.gov.co/dataset/hjjr-h3wf,
Recien nacidos con bajo peso al nacer,Social,Alcaldía de Bello,62398,25,0,0,https://www.datos.gov.co/dataset/29wa-3ye5,
"Distribución de los oficios ofertados en el Municipio, según su complejidad",Social,Alcaldía de Bello,62415,13,0,0,https://www.datos.gov.co/dataset/7bv4-2973,
Defunciones por edad y sexo,Social,Alcaldía de Bello,62419,19,0,0,https://www.datos.gov.co/dataset/3tmj-thv3,
Seguridad Social,Social,Alcaldía de Bello,62391,19,0,1,https://www.datos.gov.co/dataset/rbpu-666j,
Tasa de analfabetismo,Social,Alcaldía de Bello,62496,87,0,0,https://www.datos.gov.co/dataset/5w8u-g3mt,
"Tasa de fecundidad general, mujeres entre 10 y 49 ",Social,Alcaldía de Bello,62396,58,0,0,https://www.datos.gov.co/dataset/34pt-yfjy,
Población atendida con necesidades educativas especiales,Educación,Alcaldía de Bello,62726,119,3,0,https://www.datos.gov.co/dataset/4kxu-kreu,
Morbilidad general en consulta externa,Social,Alcaldía de Bello,62397,2,0,0,https://www.datos.gov.co/dataset/3uqe-rndx,
Morbilidad en hospitalización,Social,Alcaldía de Bello,62394,13,0,0,https://www.datos.gov.co/dataset/vfbt-wzbn,
Nacimiento por edad de la madre,Social,Alcaldía de Bello,62395,16,0,0,https://www.datos.gov.co/dataset/g55d-c7jr,
Directorio de Instituciones Educativas Oficiales del Municipio de BELLO,Social,Alcaldía de Bello,52005,76,2,0,https://www.datos.gov.co/dataset/urux-ryt3,
Población del Municipio de Bello grupos quinquenales de edad y sexo,Social,Alcaldía de Bello,62731,47,1,0,https://www.datos.gov.co/dataset/cpnq-ezca,
Infracciones de transito más sancionadas ,Movilidad y Transporte,Alcaldía de Bello,62815,146,0,0,https://www.datos.gov.co/dataset/2gqi-9m6a,
Información general de los recursos naturales de m,Cultural,Alcaldía de Berbeo,165,287,1,2,https://www.datos.gov.co/dataset/258k-u69c,
Inventario de vias del municipio de Beteitiva ,Movilidad y Transporte,Alcaldía de Beteitiva,10439,58,1,0,https://www.datos.gov.co/dataset/p2xm-7dpu,
Establecimientos comerciales de Betulia,Económica y Comercial,Alcaldía de Betulia,10320,14,0,0,https://www.datos.gov.co/dataset/bqgs-5ujf,
JUNTAS DE ACCIÓN COMUNAL DE BOAVITA,Social,Alcaldía de Boavita,10290,20,0,0,https://www.datos.gov.co/dataset/n2yc-zqs3,
Inventario hídrico del municipio de Bolívar ,Geografía,Alcaldía de Bolivar,10321,63,0,0,https://www.datos.gov.co/dataset/5asf-pg2s,
Listado Predios Municipio de Boyaca,Vivienda,Alcaldía de Boyacá,64056,149,0,1,https://www.datos.gov.co/dataset/24gc-pfma,
INVENTARIO DE VIAS VEREDALES MUNICIPIO DE BOYACA ,Movilidad y Transporte,Alcaldía de Boyacá,10458,102,11,0,https://www.datos.gov.co/dataset/hjez-hi94,
Instituciones Educativas del municipio de Briceño,Educación,Alcaldía de Briceno,10293,303,1,0,https://www.datos.gov.co/dataset/rbvd-p6gx,
IPS y EPS(s) Municipio de Bucaramanga,Salud,Alcaldía de Bucaramanga,63967,43,0,0,https://www.datos.gov.co/dataset/kjnk-8pnx,
RUTAS TRANSPORTE URBANO ,Movilidad y Transporte,Alcaldía de Bucaramanga,62417,12410,6,7,https://www.datos.gov.co/dataset/kcdt-jbvj,
Líderes JAC Bucaramanga,Social,Alcaldía de Bucaramanga,63969,36,0,0,https://www.datos.gov.co/dataset/sak8-59ph,
Información de las Instituciones educativas,Educación,Alcaldía de Buenavista,196,63,4,1,https://www.datos.gov.co/dataset/xjra-8jn6,
